rideHailAgentID,xCoord,yCoord
rideHailAgent-1106-2012000329684-06291,678257.6220119842,4822809.403433122
rideHailAgent-1600-2016000069252-0126596,684334.6076054411,4822214.74839613
rideHailAgent-1500-2012000462797-09778,683616.4230480202,4820878.479900439
rideHailAgent-408-2012000057088-0786,686362.0357653549,4825078.904151764
rideHailAgent-1902-2013000168908-133290,683426.6303681727,4821306.552751519
rideHailAgent-10405-2012000974778-020153,679369.658683625,4824994.320860601
rideHailAgent-10102-2013000190262-233966,683306.3066213336,4820289.465694967
rideHailAgent-10104-2016000930780-1146627,684090.7325382578,4820203.935652769
rideHailAgent-401-2015000342080-097661,685085.3302134211,4823685.382107478
rideHailAgent-401-2013001196677-055377,685503.0401812524,4825592.351347498
rideHailAgent-10600-2013001198998-055490,681075.5874528617,4819661.692728299
rideHailAgent-700-2013001097023-053397,683684.135919995,4823622.639961434
rideHailAgent-10102-2016001235624-1152791,680130.2559078088,4819190.890299595
rideHailAgent-1101-2014000990658-081568,679581.076670795,4819392.699086989
rideHailAgent-201-2014001013559-082377,683006.5012268379,4825013.634410352
rideHailAgent-408-2013001099005-153554,687071.854479657,4825360.001312003
rideHailAgent-700-2015000837180-0110090,682790.6018293723,4824024.334380416
rideHailAgent-1902-2012000938214-018934,684960.1028593483,4823265.296486535
rideHailAgent-1804-2012000462797-09783,684631.9212383019,4822999.178574986
rideHailAgent-600-2013001034522-052068,683129.8777868681,4824695.264783698
rideHailAgent-1804-2016000012225-1124652,682640.3766800889,4822633.085263713
rideHailAgent-1107-2016000995092-0147713,678648.7519700854,4821911.593558907
rideHailAgent-1801-2015000810401-5108509,687002.504014965,4820338.716117663
rideHailAgent-1200-2012000142774-02731,681486.8963388705,4821987.262211601
rideHailAgent-1106-2012000442109-19343,683829.4315393233,4823651.854733787
rideHailAgent-1902-2012000873181-017898,682341.4934590657,4820031.416322762
rideHailAgent-1700-2015001431732-0123044,684978.7290723037,4823300.923489098
rideHailAgent-1804-2013001068053-053103,687206.3444491791,4822295.491321266
rideHailAgent-10405-2015000087715-092769,679007.7015439561,4827297.956845698
rideHailAgent-700-2012000276290-05758,684625.5101079892,4824781.6267092675
rideHailAgent-10104-2016000116811-2127410,682725.936478529,4821677.147055854
rideHailAgent-500-2013001307359-057344,683009.9767661308,4822874.96106096
rideHailAgent-1106-2014000221484-166396,679988.9862421366,4821285.611384146
rideHailAgent-100-2015000082599-092637,681697.2656275363,4824756.851181749
rideHailAgent-100-2016001216686-0151299,683404.4631814752,4824773.842880408
rideHailAgent-500-2015000301668-097026,685364.9806307332,4823134.487247013
rideHailAgent-1106-2014001169422-186201,678632.8177954388,4822582.791103483
rideHailAgent-1105-2014000407457-070068,679988.4497177346,4821029.106997598
rideHailAgent-1803-2013000831682-148787,682952.8286842705,4820298.345353074
rideHailAgent-1106-2016000995092-1147712,683037.8247993024,4822497.92185893
rideHailAgent-10102-2016000690309-1141435,679379.1089548359,4819321.106476073
rideHailAgent-700-2012000963809-119009,683990.1213508693,4823670.475038854
rideHailAgent-700-2012001433817-028704,683981.2241943595,4824598.048090925
rideHailAgent-1002-2015000099042-092894,680961.3147229942,4824323.057984034
rideHailAgent-401-2012001254838-024517,685045.6724601638,4823182.24257763
rideHailAgent-100-2015000207675-095074,683491.537343602,4824822.30224017
rideHailAgent-1101-2014000585174-074269,680727.8978123076,4822652.773823816
rideHailAgent-1902-2012000087796-01652,682978.5507318012,4821727.538519062
rideHailAgent-1902-2016001178626-0150152,679893.5896388371,4821524.684602984
rideHailAgent-1101-2016000840757-1145084,679686.4797782295,4820549.8677246235
rideHailAgent-407-2016000275343-0131424,686945.61322402,4822443.453720768
rideHailAgent-700-2015000666520-0103967,683546.4360247558,4824032.911236656
rideHailAgent-1200-2015000653794-0103898,680648.469174476,4822485.622941687
rideHailAgent-407-2016000246130-0130114,687103.2449794175,4822978.934743004
rideHailAgent-1002-2016000262140-0130891,679895.4838788701,4821142.684565661
rideHailAgent-1106-2016000055939-0125956,680113.6814340089,4821359.232212258
rideHailAgent-1902-2016000012225-2124568,683202.6943414942,4821248.709226236
rideHailAgent-408-2015000383841-098339,687235.2872018734,4825412.310815243
rideHailAgent-300-2012001193408-023841,683451.711804766,4824386.633649162
rideHailAgent-1106-2014001033050-182823,682068.1254126271,4824464.153412551
rideHailAgent-1105-2014001287076-089016,680281.4249320924,4820868.733819467
rideHailAgent-1002-2016000645198-0140275,679919.5045951676,4821480.199057037
rideHailAgent-401-2012001304643-025173,685956.609456105,4824399.80026884
rideHailAgent-405-2014001239636-088226,684712.8934387992,4822454.98947829
rideHailAgent-1106-2013000895447-249759,683006.567243865,4822859.697316926
rideHailAgent-1106-2013000035041-230002,678762.3921700557,4820971.973225745
rideHailAgent-10104-2014000561422-073831,683396.0275644592,4819470.902261942
rideHailAgent-202-2012000854454-017406,679231.1173074697,4825094.35467757
rideHailAgent-1200-2013000263579-036171,681039.2834988355,4820826.223186522
rideHailAgent-300-2013000056397-130712,682613.1950553051,4823866.058010168
rideHailAgent-10104-2016001048510-1148295,680013.5987944994,4821239.519887864
rideHailAgent-700-2014001176958-186851,684557.2161623505,4824342.163015238
rideHailAgent-1902-2014001275264-088702,683277.9826157512,4819425.656164691
rideHailAgent-10104-2015000290126-196622,684165.2774109461,4819060.9128603
rideHailAgent-201-2014001213505-087605,681853.7259044071,4825086.68229123
rideHailAgent-10102-2015000804471-0108094,679887.1965637896,4821322.918359422
rideHailAgent-1101-2016000512260-0136922,680702.5139492144,4819648.334634895
rideHailAgent-1801-2016000927549-0146516,684573.9873200234,4824085.691743114
rideHailAgent-1804-2012000566763-111497,685091.0380744333,4823289.211935499
rideHailAgent-1001-2014000447887-070431,680470.34759816,4824603.579421565
rideHailAgent-600-2014000487730-071522,683293.4113722562,4823100.741815575
rideHailAgent-406-2016000985405-0147397,684581.99634837,4824301.430352283
rideHailAgent-10600-2016001223046-0151889,679716.7107009756,4821602.030566915
rideHailAgent-405-2016000755626-0142603,687296.9516469863,4825460.507085727
rideHailAgent-1902-2014000495145-072179,686355.7028289025,4821926.243912478
rideHailAgent-1001-2016000984454-0147332,680329.2768727833,4823562.158932513
rideHailAgent-10103-2013000606389-244378,678699.7104573662,4819480.071873464
rideHailAgent-700-2015001219743-1118522,683403.0820877417,4824175.514527564
rideHailAgent-1106-2013001034691-052201,680556.0215140515,4823507.704745979
rideHailAgent-1106-2014000869030-478748,678459.2263027155,4820753.575448821
rideHailAgent-1106-2014001023351-182527,682980.5602561814,4822723.708816442
rideHailAgent-10103-2013001426374-059611,679716.4935351929,4821318.504362996
rideHailAgent-1105-2013000419803-240143,678398.709451707,4820043.938842767
rideHailAgent-1500-2015000585393-0101677,683034.0782465842,4820148.968301754
rideHailAgent-1002-2012000805694-015658,678916.1445643582,4823606.361595556
rideHailAgent-408-2015001250406-0119216,684862.7877385562,4826079.224718308
rideHailAgent-202-2016000267720-0131226,680080.7916322665,4825980.306874981
rideHailAgent-300-2015000018888-091693,684785.216321341,4828946.826417109
rideHailAgent-1106-2014000831142-077608,680079.7134134251,4821458.221398149
rideHailAgent-1901-2016001120110-0149303,683783.2760769299,4821382.7134335395
rideHailAgent-10103-2013000670983-046559,682941.530110707,4820475.764312127
rideHailAgent-10401-2014000495145-072102,682795.0676467884,4820657.603226008
rideHailAgent-1902-2013000532687-442867,686780.2377535958,4820817.769312573
rideHailAgent-100-2015000732389-0105654,683633.5169758857,4825177.841073429
rideHailAgent-1106-2014000475625-071061,680320.9976466544,4823757.171338904
rideHailAgent-1107-2012000976037-020179,678671.9708402131,4822156.172790325
rideHailAgent-1801-2014000849408-178298,687301.2518101942,4822625.486930653
rideHailAgent-1600-2012000353261-06871,684990.6417175727,4821547.039069473
rideHailAgent-1101-2016000304988-0131948,681682.6665519131,4821287.008639418
rideHailAgent-600-2016000116811-0127443,683897.5900700812,4822926.693259765
rideHailAgent-406-2013001135090-053879,684892.1239717824,4823933.875125384
rideHailAgent-1002-2012000354056-17210,679058.0364464535,4823445.939813442
rideHailAgent-401-2015001275570-0119889,686000.240209208,4825734.084283918
rideHailAgent-201-2013000377800-038943,683479.774014903,4824752.906022127
rideHailAgent-1108-2015000046388-092196,680195.056973665,4821099.173824072
rideHailAgent-1105-2014001093569-284594,680197.954583511,4820171.839686413
rideHailAgent-10104-2014000886715-279282,686737.2486175236,4819077.940861074
rideHailAgent-10102-2016000479494-1135891,681691.4316083346,4819446.287926481
rideHailAgent-1801-2015001106762-0116113,686991.7641405741,4823025.015751851
rideHailAgent-1804-2013000065252-031005,687283.2949460744,4822205.301154152
rideHailAgent-10104-2016000333866-0132179,683141.0839822848,4820466.757176256
rideHailAgent-1901-2015000810401-1108524,684668.6392540903,4820350.0788638275
rideHailAgent-300-2013000419803-140057,686103.0309875219,4825878.970467735
rideHailAgent-300-2016001223046-1151998,685574.2170098716,4824579.453493528
rideHailAgent-202-2016000783118-0143854,681157.4457938542,4824194.820907736
rideHailAgent-700-2016000900036-0145919,683766.4295731065,4824686.299809474
rideHailAgent-300-2014000582422-074045,685018.577795567,4825862.373765898
rideHailAgent-1803-2015000780667-0106777,683206.4669951256,4821323.400724581
rideHailAgent-1107-2013001026468-052007,678795.370156385,4820389.678138928
rideHailAgent-406-2014000951716-080614,686505.7254842919,4823671.342886289
rideHailAgent-1500-2015001363337-0121811,683358.2392854462,4820800.363946264
rideHailAgent-1200-2012001433817-028835,680212.4415663815,4821296.910400538
rideHailAgent-1101-2015001225649-0118878,681326.9624890306,4820190.425484984
rideHailAgent-10405-2014000665701-075756,681325.6466417696,4825377.192937359
rideHailAgent-10405-2013001005966-051671,678470.1900853371,4828962.729262015
rideHailAgent-10102-2016000510160-1136709,682890.4036465836,4820521.983427719
rideHailAgent-10103-2015001110576-1116221,678532.0989719158,4819685.472203226
rideHailAgent-407-2013000603319-044332,684832.0691403747,4824127.717701569
rideHailAgent-1801-2013001345206-057984,686987.5450697883,4819852.574395502
rideHailAgent-1500-2012000734635-014436,683142.2780033529,4822209.603136389
rideHailAgent-202-2015000458232-099814,680320.0123922026,4825089.16182086
rideHailAgent-600-2015000902296-0112314,684376.3316338101,4823061.603327208
rideHailAgent-407-2016000116811-1127944,687171.6895604323,4822957.922952086
rideHailAgent-10600-2013001034691-052378,682060.5171656662,4820801.035611021
rideHailAgent-10401-2016001223046-0151710,684152.6706667474,4823516.972902629
rideHailAgent-900-2016001368397-0153951,683231.7295894154,4823869.406672196
rideHailAgent-10401-2013000703547-047141,683093.2857878597,4820392.86171965
rideHailAgent-201-2015000134451-093488,682812.6894502213,4824714.222994649
rideHailAgent-500-2012000816252-016080,685271.628694486,4824538.330879625
rideHailAgent-1804-2012000172183-03414,684005.3755423466,4823867.184689452
rideHailAgent-1001-2015001195146-0117765,678665.5571380715,4823329.727100634
rideHailAgent-900-2013000977203-051153,682061.8333546568,4824226.32364622
rideHailAgent-1803-2015000318368-297385,682496.3655453501,4820661.784144661
rideHailAgent-1801-2013000532687-343011,683104.9173924995,4821148.192475635
rideHailAgent-10600-2014001441988-091333,683454.1658878947,4821581.426035939
rideHailAgent-10102-2014001176555-086571,680171.9130148239,4820979.313730301
rideHailAgent-405-2014000836826-177937,687125.1392652155,4824572.50108384
rideHailAgent-700-2016001114517-0149212,684112.2285673491,4823456.431223873
rideHailAgent-10600-2014001166634-086104,682430.4373693533,4820495.907655384
rideHailAgent-1801-2015000392042-098581,682401.7031059198,4820416.055066597
rideHailAgent-1002-2014001362578-090243,681712.1762647625,4824814.133238995
rideHailAgent-10401-2013000603319-044312,682940.0577269819,4820284.940909332
rideHailAgent-10600-2012001377121-027207,682532.6180472757,4822277.828454705
rideHailAgent-1803-2015000831253-3109669,683318.3763929469,4820531.765475569
rideHailAgent-406-2012001097565-122048,687184.4089816535,4823623.421833248
rideHailAgent-405-2015000751671-0105806,686859.3182547997,4824003.431161409
rideHailAgent-1107-2013000293146-036934,681063.3610431766,4824861.789214501
rideHailAgent-1106-2012000816252-116043,680975.5172291043,4824012.500639278
rideHailAgent-1101-2016001180805-1150220,680016.4112309298,4819929.52568482
rideHailAgent-700-2013000854706-049179,683090.7425104346,4822101.502954841
rideHailAgent-900-2016000267720-0131270,681362.5474807475,4823751.962873686
rideHailAgent-1200-2016001140403-0149567,679913.5439206972,4821415.104792989
rideHailAgent-10104-2014000568068-073954,683143.7899136713,4820561.923449845
rideHailAgent-1002-2014001217922-087824,680956.987484138,4824340.100282258
rideHailAgent-10102-2014001122037-085091,680159.2335983305,4820831.4461602
rideHailAgent-1105-2015000589630-0102069,681091.5879071155,4820566.532692597
rideHailAgent-201-2016000264178-0131008,682808.0140811871,4823464.74625637
rideHailAgent-10102-2013000287282-136824,683219.0052936287,4820314.0393748265
rideHailAgent-1105-2014000959742-080924,680035.5843144755,4821540.302082158
rideHailAgent-1105-2014000023781-061290,678629.3378547232,4819418.305096876
rideHailAgent-10104-2014000022810-161193,683217.7602725578,4821501.355526626
rideHailAgent-10104-2014001213505-187646,682909.8544214173,4820394.578360237
rideHailAgent-10104-2012001097565-221963,683366.3582737676,4819512.477239693
rideHailAgent-10405-2015000099042-092922,680022.5121471595,4826464.271198543
rideHailAgent-10102-2015000050024-492316,679559.0471235022,4819363.112809722
rideHailAgent-1101-2016000664308-0140598,681540.5669213472,4819367.736020453
rideHailAgent-10102-2012000015028-064,678653.4775222832,4819559.826343519
rideHailAgent-1108-2016001424895-0155071,678498.6542151298,4819677.7339244485
rideHailAgent-1105-2016001232300-1152460,678547.6927730616,4819621.618720238
rideHailAgent-10405-2014001221401-087884,678218.8504835436,4828982.462966995
rideHailAgent-1107-2016001223046-1152036,681608.9301921627,4820356.951984003
rideHailAgent-10401-2015000628621-1103158,687156.9403029962,4822856.057477838
rideHailAgent-1101-2013000430975-040336,680123.5652631157,4821232.092538528
rideHailAgent-100-2016000116811-0127670,683109.1832095906,4825963.972185558
rideHailAgent-10103-2014001087840-084384,678792.166484813,4819395.863464191
rideHailAgent-407-2016000267720-0131197,685062.0114862322,4824225.947784668
rideHailAgent-100-2016000874667-0145385,681019.3749813855,4823844.10835504
rideHailAgent-10102-2016000116811-3127781,681871.6260964371,4823447.848312046
rideHailAgent-1801-2016000332872-0132124,686328.6291937205,4818985.310628073
rideHailAgent-202-2016001459467-0156235,679864.8001951589,4825855.809934917
rideHailAgent-1001-2015000795744-1107488,681124.0124229452,4823747.097660626
rideHailAgent-10600-2016000938757-0146740,681589.9444129987,4823174.404564412
rideHailAgent-401-2012000566763-011452,686119.4010733382,4823136.28796285
rideHailAgent-405-2013001034522-052064,687093.2231842395,4823603.7410050025
rideHailAgent-1200-2015000653794-0103858,681172.9584969913,4820870.442480752
rideHailAgent-10103-2014000224796-066550,678849.5168312461,4819628.61908154
rideHailAgent-500-2014001362578-090198,685258.9308746561,4824549.583685599
rideHailAgent-10104-2014000896475-179436,684848.492090434,4825069.5565964645
rideHailAgent-406-2012001134055-223227,686725.3938402999,4823762.301279297
rideHailAgent-10405-2013000226617-035233,679286.6440321223,4827942.57933447
rideHailAgent-1108-2014000201569-065885,678713.1581781064,4819609.887680932
rideHailAgent-1106-2015000290126-196673,678379.2292247992,4820957.159268425
rideHailAgent-600-2013000004371-029730,684166.8357360242,4824217.341312398
rideHailAgent-1106-2013000761056-147806,682832.3825909212,4822779.313524978
rideHailAgent-1801-2014000679703-075858,682886.8652970177,4821338.678171586
rideHailAgent-1105-2016001407958-1154439,678401.961094817,4819401.021898963
rideHailAgent-1804-2014000119219-064088,687350.5691224699,4822298.775850608
rideHailAgent-1106-2016000276489-0131617,678910.4501406137,4822907.540217191
rideHailAgent-1901-2016000928324-0146572,684366.4522543172,4821139.765839065
rideHailAgent-1106-2012001134055-023265,679842.5866596932,4821331.319008731
rideHailAgent-407-2013000369969-038530,687204.0204273425,4823726.938721534
rideHailAgent-1902-2015000581820-1101577,683706.7135416486,4820206.960941849
rideHailAgent-1101-2013000492169-041900,679900.2252219825,4820999.537900319
rideHailAgent-1801-2013000848073-049118,687263.0452039598,4820387.879850388
rideHailAgent-10104-2015000530305-1100718,683172.8353557811,4821729.514982238
rideHailAgent-700-2014000537083-073141,681967.9500216626,4822067.550590679
rideHailAgent-401-2016000874667-0145568,686405.639518712,4823107.000301401
rideHailAgent-10102-2012000015028-037,678901.5676924083,4819518.2536359085
rideHailAgent-1801-2015001164577-0117399,686014.2895867674,4822374.899217304
rideHailAgent-1001-2014001322943-089307,680923.257141633,4824740.597997603
rideHailAgent-1801-2012000719213-314114,684588.5548257737,4824258.149119579
rideHailAgent-1902-2014001154211-085755,683068.2541214606,4820196.111986325
rideHailAgent-1108-2013001154369-054322,686666.3726770444,4820038.7701345105
rideHailAgent-201-2013000754202-047643,682042.6037313843,4826028.283344333
rideHailAgent-401-2015000726028-1105324,686034.2975373487,4824692.913916644
rideHailAgent-10104-2014001049077-183225,684757.8308081232,4822399.227071332
rideHailAgent-10405-2015000189392-094902,679114.6416768732,4828379.003952473
rideHailAgent-1801-2014000114846-064043,686796.7501161227,4819377.041633155
rideHailAgent-1106-2014000113616-063938,683100.6172451759,4822519.745919636
rideHailAgent-1105-2012000131467-12272,680099.4193616261,4821500.160850399
rideHailAgent-1700-2014000665701-075835,684535.8907848577,4824311.4699605955
rideHailAgent-408-2013000895447-049736,684828.6896977152,4826013.287680768
rideHailAgent-10104-2013001063722-152901,684657.3318795456,4818695.340281998
rideHailAgent-1105-2012000871125-117849,680216.9475739052,4821069.790554835
rideHailAgent-700-2016000364640-0132674,680410.4438663904,4823765.133977019
rideHailAgent-10102-2012000818858-016291,682662.6292864275,4824477.03279059
rideHailAgent-500-2012000816252-016224,685279.1363253265,4824706.917162097
rideHailAgent-1500-2015000136494-093744,681907.2733587394,4821667.152078176
rideHailAgent-408-2015000831253-0109623,685030.2758729937,4826229.5336600365
rideHailAgent-1106-2012000065430-1975,683090.5023213669,4822517.035100985
rideHailAgent-10102-2012000529759-010286,680089.9349079063,4821348.0743455
rideHailAgent-1101-2015001462558-0123340,679241.4765282715,4819389.767416989
rideHailAgent-1002-2016000482844-0136164,678756.5127998043,4822613.105468818
rideHailAgent-1106-2012000816252-115947,681574.0700040353,4824932.750509787
rideHailAgent-900-2013000105963-131709,683401.3040478339,4823875.544442841
rideHailAgent-10104-2012000081021-01578,682431.6236383283,4820231.797275539
rideHailAgent-1106-2015000709647-0104641,680362.3541317004,4823744.927691864
rideHailAgent-10600-2016001459467-0156268,682425.4468824246,4821620.267845056
rideHailAgent-10103-2015000542370-1100915,681027.0697214172,4820294.280024928
rideHailAgent-1500-2014000901035-079559,682737.3833303585,4823376.5508644935
rideHailAgent-1106-2014000147028-264761,678556.7360568361,4821005.878911617
rideHailAgent-405-2016001424471-0154830,687173.794131522,4825261.279621952
rideHailAgent-1902-2016001368397-0153966,682815.6660840816,4820512.072225621
rideHailAgent-10405-2016000420812-0134496,678386.2183058732,4829156.090918939
rideHailAgent-900-2015001068293-0115438,680317.8921566822,4823744.37980777
rideHailAgent-1902-2014001362907-190308,685703.8060315539,4821461.954098995
rideHailAgent-1801-2014001307420-089095,686959.8558539352,4822776.18745805
rideHailAgent-10103-2014000180574-065423,683226.3687291592,4820151.618829005
rideHailAgent-600-2015000018888-091700,683854.8086714376,4822818.520914494
rideHailAgent-1801-2016001451342-1155992,685060.8448429862,4823180.492691107
rideHailAgent-10104-2014001079600-084134,683243.7561326134,4820263.372182687
rideHailAgent-1801-2012001471932-029369,683357.0311450687,4820709.465534337
rideHailAgent-1105-2016000996040-1147753,678732.7418410449,4819452.566358599
rideHailAgent-1101-2012000816252-016135,679572.5599813176,4819381.816112203
rideHailAgent-405-2016001228908-0152222,684976.8941296416,4824555.222849421
rideHailAgent-1803-2015000401067-099317,687054.6362814924,4822383.3524744045
rideHailAgent-1101-2013000636360-045353,681081.4029536186,4820329.402367136
rideHailAgent-1101-2014001137871-085369,681128.0424463926,4821275.367482701
rideHailAgent-1106-2012001325614-125736,678593.3901772731,4820553.323346994
rideHailAgent-1105-2012000965843-019711,678704.3541845283,4819996.174584334
rideHailAgent-10104-2013000894542-149572,683557.3608554183,4819291.474119073
rideHailAgent-100-2012001118760-022735,682277.9375676294,4824550.725707444
rideHailAgent-300-2014000585174-174240,684908.5156235682,4826051.237977142
rideHailAgent-1105-2016001425564-0155117,678446.039119692,4819545.1624677535
rideHailAgent-408-2013001478005-060263,684866.7031477377,4826145.110693794
rideHailAgent-1108-2015000046388-092122,678577.9588565906,4820577.004344223
rideHailAgent-1002-2013000787397-048072,681882.321613588,4823897.751246624
rideHailAgent-300-2013000487483-041824,684816.9322233722,4825134.766054431
rideHailAgent-1803-2013001198998-055477,683616.5532190069,4820658.006411919
rideHailAgent-10104-2015000467368-099978,681750.4398305009,4819204.316600384
rideHailAgent-202-2012000710099-013876,679879.940650338,4825944.4784826925
rideHailAgent-600-2016001273891-0153459,683388.0139078249,4820856.378832546
rideHailAgent-1600-2015000884043-0111799,683177.3954789181,4823253.0139073385
rideHailAgent-1107-2016000250854-1130698,680209.9571537375,4820329.758526016
rideHailAgent-405-2013000365992-138327,686900.7421660813,4823965.751714556
rideHailAgent-202-2016000878091-0145676,681549.1105202442,4823548.170209593
rideHailAgent-10405-2016000069252-0126277,679241.7083381552,4826338.735545259
rideHailAgent-1001-2013001492343-060761,680866.0639181043,4824483.84827093
rideHailAgent-1107-2012000923823-018583,678963.4685906395,4821450.562589222
rideHailAgent-1803-2014000185653-065782,682307.2475829786,4820322.576959101
rideHailAgent-401-2013000402257-039571,684483.6310486716,4824252.682405512
rideHailAgent-700-2015000828870-0109574,683338.8657658657,4823530.135570922
rideHailAgent-405-2015000938182-1112709,687230.403050596,4825176.067703337
rideHailAgent-1200-2012000634858-012718,680819.1344467746,4821222.030881982
rideHailAgent-1901-2014000113616-063623,683762.258580245,4820096.603511954
rideHailAgent-202-2013001092406-053296,681097.1087287944,4824745.593043465
rideHailAgent-1101-2015001195146-1117891,680939.501557928,4824362.7165781185
rideHailAgent-408-2012000442109-09234,686063.5390760967,4825959.242218756
rideHailAgent-1106-2015000804471-3108064,680440.9705941904,4828357.957651148
rideHailAgent-1105-2015000549095-0100993,678406.8359588906,4819548.211036456
rideHailAgent-900-2013000298655-037350,679224.525117884,4822695.37276471
rideHailAgent-1106-2013001128965-053843,678663.1531939205,4821195.738612983
rideHailAgent-408-2015000467368-0100033,687493.2610133387,4825119.161551295
rideHailAgent-405-2016000550401-2137932,685070.907449628,4822543.6376741
rideHailAgent-1902-2012000566763-011499,686066.5595148404,4819749.154719881
rideHailAgent-1002-2016001218138-0151518,679680.8716950648,4823428.792825241
rideHailAgent-600-2015001161098-0116809,683896.0113677507,4822859.757133534
rideHailAgent-406-2014001079306-083902,684417.1479350653,4824232.806543985
rideHailAgent-407-2013000367446-038458,687136.4859147836,4822206.564124237
rideHailAgent-1001-2016000554109-0138152,681092.6246376353,4823002.388603314
rideHailAgent-10405-2016000364640-0132522,681136.1799855267,4825404.928560564
rideHailAgent-405-2013000190262-033767,684812.4372552626,4823953.8727630535
